,title,url,source,news_desk,type_of_material,first_paragraph,date,word_count,day_of_week
117,The Long Road to Successful Vaccines,https://www.nytimes.com/2022/01/21/opinion/letters/covid-vaccines.html,New York Times,Letters,Letter,To the Editor:,2022-01-21 19:24:04+00:00,1162.0,Friday
118,Ex-Giuliani Associate Who Tried to Smear Biden on Ukraine Is Sentenced to Prison,https://www.nytimes.com/2022/01/21/nyregion/igor-fruman-sentencing.html,New York Times,Metro,News,"Well before the 2020 presidential election, when he was an associate of Rudolph W. Giuliani, Igor Fruman was on the front lines of a shadowy diplomacy campaign to advance then-President Donald J. Trump’s interests and damage his political adversaries.",2022-01-21 20:48:45+00:00,1065.0,Friday
119,Jan. 6 Panel and State Officials Seek Answers on Fake Trump Electors,https://www.nytimes.com/2022/01/21/us/politics/jan-6-fake-trump-electors.html,New York Times,Washington,News,"WASHINGTON — Law enforcement officials, members of Congress and the House committee investigating the Jan. 6 attack on the Capitol are digging deeper into the role that fake slates of electors played in efforts by former President Donald J. Trump to cling to power after he lost the 2020 election.",2022-01-21 23:11:49+00:00,1507.0,Friday
120,,https://www.nytimes.com/2022/01/23/arts/television/saturday-night-live-will-forte.html,New York Times,Culture,News,"It’s the viral phenomenon that gets picked apart on social media, where you throw out random words and see what gets a response — but first, the “Saturday Night Live” opening sketch.",2022-01-23 07:56:34+00:00,962.0,Sunday
121,"Jan. 6 Marchers, Still Defiant, See It as Day One of Movement",https://www.nytimes.com/2022/01/23/us/jan-6-attendees.html,New York Times,National,News,PHOENIX — There were moments when Paul Davis questioned his decision to join the crowd that marched on the United States Capitol last January. When he was publicly identified and fired from his job as a lawyer. When his fiancée walked out.,2022-01-23 08:00:10+00:00,1821.0,Sunday
122,Ann Coulter Is Rooting for a Trump-DeSantis Throw-Down,https://www.nytimes.com/2022/01/23/opinion/ann-coulter-trump-ron-desantis.html,New York Times,Editorial,Op-Ed,Ann Coulter has a gift for pushing just the right buttons to inflict maximum irritation. She has been a top-tier troll since Donald Trump was little more than a failed casino magnate.,2022-01-23 16:00:23+00:00,941.0,Sunday
123,The President Needs a Turnaround,https://www.nytimes.com/2022/01/24/opinion/joe-biden-2024.html,New York Times,OpEd,Op-Ed,"Bret Stephens: Gail, that was one long presidential news conference last week. If Joe Biden wanted to show he has stamina, I guess he proved it. Otherwise, how did you think it went?",2022-01-24 10:00:11+00:00,1546.0,Monday
124,Former Allies Face Off As Avenatti Trial Starts,https://www.nytimes.com/2022/01/24/nyregion/michael-avenatti-stormy-daniels.html,New York Times,Metro,News,"For much of 2018, the California-based lawyer Michael Avenatti and his client Stormy Daniels, a pornographic film actress, were key figures in the fervent political opposition to President Donald J. Trump.",2022-01-24 14:31:25+00:00,1322.0,Monday
125,,https://www.nytimes.com/2022/01/24/us/politics/trump-grand-jury-fani-willis-georgia.html,New York Times,Politics,News,A Georgia district attorney’s request to convene a special grand jury was approved Monday in the criminal investigation into former President Donald J. Trump’s attempts to overturn the 2020 election results in the state.,2022-01-24 22:52:00+00:00,558.0,Monday
126,,https://www.nytimes.com/2022/01/24/us/politics/ro-khanna-tech.html,New York Times,Politics,News,It’s not often that you meet a member of Congress who is eager to discuss the German philosopher Jürgen Habermas.,2022-01-25 00:00:05+00:00,1333.0,Tuesday
127,What Trump Papers May Tell Jan. 6 Panel,https://www.nytimes.com/2022/01/24/us/politics/trump-documents-jan-6-committee.html,New York Times,Washington,News,Follow live updates on the House committee hearing on the Jan. 6 attack on the Capitol.,2022-01-25 00:20:49+00:00,1885.0,Tuesday
128,Legal Challenge Hangs on Word ‘Insurrectionist’  ,https://www.nytimes.com/2022/01/25/us/politics/madison-cawthorn-jan-6.html,New York Times,Washington,News,"WASHINGTON — A group of lawyers is working to disqualify from the ballot a right-wing House Republican who cheered on the Jan. 6 rioters unless he can prove he is not an “insurrectionist,” disqualified by the Constitution from holding office, in a case with implications for other officeholders and potentially former President Donald J. Trump.",2022-01-26 00:34:23+00:00,1381.0,Wednesday
129,Justice Dept.  Is Reviewing Fake Electors For Trump,https://www.nytimes.com/2022/01/25/us/politics/justice-department-trump.html,New York Times,Washington,News,"WASHINGTON — The Justice Department is investigating the fake slates of electors that falsely declared Donald J. Trump the victor of the 2020 election in seven swing states that Joseph R. Biden Jr. had in fact won, a top agency official said on Tuesday.",2022-01-26 00:38:25+00:00,469.0,Wednesday
130,,https://www.nytimes.com/2022/01/25/us/politics/melania-trump-auction-hat-cryptocurrency.html,New York Times,Washington,News,"Melania Trump’s much-discussed online auction, featuring a hat she wore at the White House during a 2018 visit by President Emmanuel Macron of France, ended up turning into a victim of the crash in the cryptocurrency market.",2022-01-26 01:09:04+00:00,439.0,Wednesday
131,,https://www.nytimes.com/2022/01/26/briefing/russia-ukraine-trump-nato.html,New York Times,NYTNow,briefing,Donald Trump has made a habit of deriding the U.S. alliance with Western Europe. He described NATO — the American-led alliance with Europe that dates to the 1940s — as “obsolete” and said that Americans were “schmucks” for financing it. He mused about withdrawing the U.S. from NATO and often spoke more positively about Russia than about longtime American allies like Germany and France.,2022-01-26 11:17:07+00:00,1705.0,Wednesday
132,,https://www.nytimes.com/2022/01/26/us/politics/winred-investigation-republican-fundraising.html,New York Times,Politics,News,"A federal judge in Minnesota on Wednesday dismissed a lawsuit filed by WinRed, a company that processes online donations for Republicans, that sought to block state attorneys general from investigating fund-raising tactics that have triggered complaints of fraud.",2022-01-26 23:44:11+00:00,530.0,Wednesday
133,G.O.P. Divided Between Traditional Hawks and Isolationist Trump Loyalists,https://www.nytimes.com/2022/01/26/us/politics/republicans-ukraine.html,New York Times,Washington,News,"WASHINGTON — As President Biden tries to forge a united allied response to Russian aggression in Ukraine, unity on the home front is strained by a Republican Party torn between traditional hawks in the leadership and a wing still loyal to Donald J. Trump’s isolationist instincts and pro-Russian sentiment.",2022-01-26 23:55:29+00:00,1240.0,Wednesday
134,‘He Stole From Me’: Adult Film Star Confronts Avenatti at His Fraud Trial,https://www.nytimes.com/2022/01/27/nyregion/michael-avenatti-stormy-daniels-trial.html,New York Times,Metro,News,"Stormy Daniels, the pornographic film star whose lawsuit against former President Donald J. Trump was at the center of a 2018 scandal, took the stand as a witness on Thursday in the trial of Michael Avenatti, the lawyer who once represented her but now stands accused of stealing from her.",2022-01-27 17:25:23+00:00,990.0,Thursday
135,,https://www.nytimes.com/2022/01/27/us/politics/trump-arizona-primary.html,New York Times,Politics,News,Senator Kyrsten Sinema has received so much attention recently that you might have forgotten that she’s not the Arizona Democrat up for re-election in 2022.,2022-01-28 00:00:05+00:00,1407.0,Friday
136,,https://www.nytimes.com/2022/01/28/world/middleeast/israel-pegasus-spyware.html,New York Times,Express,News,"It is widely regarded as the world’s most potent spyware, capable of reliably cracking the encrypted communications of iPhone and Android smartphones.",2022-01-28 10:09:10+00:00,991.0,Friday
137,The Mystery of the Trump Coin,https://www.nytimes.com/2022/01/28/technology/trump-coins.html,New York Times,SundayBusiness,News,"To hear more audio stories from publications like The New York Times, download Audm for iPhone or Android.",2022-01-28 14:00:12+00:00,2262.0,Friday
138,,https://www.nytimes.com/2022/01/28/nyregion/stormy-daniels-michael-avenatti-trial.html,New York Times,Metro,News,"Early in Michael Avenatti’s cross-examination of his former client Stormy Daniels on Friday, he asked whether, a few years earlier, a “dark entity” had entered her home through a “portal.”",2022-01-28 16:33:27+00:00,822.0,Friday
139,Jan. 6 Panel Subpoenas 14 Fake Electors Who Submitted Certificates for Trump,https://www.nytimes.com/2022/01/28/us/politics/jan-6-committee-trump-electors.html,New York Times,Washington,News,Follow live updates on the House committee hearing on the Jan. 6 attack on the Capitol.,2022-01-28 19:54:25+00:00,1132.0,Friday
140,Cross-Examination at Avenatti Trial: Courtroom Time Capsule From ’18,https://www.nytimes.com/2022/01/28/nyregion/michael-avenatti-stormy-daniels.html,New York Times,Metro,News,"In the hallowed halls of Manhattan’s two federal courthouses, where some of the nation’s most prominent and historic trials have been held, defense lawyers and prosecutors regularly deliver soaring oratory and witnesses testify with deep emotion.",2022-01-28 23:05:47+00:00,957.0,Friday
141,"Are We Falling Apart? If So, Why?",https://www.nytimes.com/2022/01/29/opinion/letters/america-falling-apart.html,New York Times,Letters,Letter,To the Editor:,2022-01-29 16:27:51+00:00,1223.0,Saturday
