title,date,index,neg_s,neu_s,pos_s,compound_s,neg,neu,pos,compound
"Ben & Jerry's slammed by Israeli PM, Netanyahu after announcing ...",2021-07-19 15:43:00,54.0,0.05523076923076923,0.5196923076923077,0.040461538461538465,0.048338461538461525,0.049,0.862,0.089,0.9664
Netanyahu appears in court as confidant prepares to testify against ...,2021-11-16 07:13:00,55.0,0.08456,0.75696,0.07844000000000001,0.013791999999999987,0.088,0.809,0.103,0.7615
Netanyahu responds to Trump's claim of disloyalty | Fox News,2021-12-12 05:59:00,56.0,0.0021000000000000003,0.63215,0.16570000000000001,0.3374150000000001,0.003,0.833,0.164,0.9964
Trump slams Netanyahu in curse-fueled interview for congratulating ...,2021-12-10 11:28:00,57.0,0.009217391304347827,0.287304347826087,0.05134782608695652,0.1457217391304348,0.045,0.794,0.162,0.9953
Iran nuclear talks: A breakdown of the Vienna negotiations | Fox News,2021-11-29 11:41:00,58.0,0.01143076923076923,0.17983076923076924,0.024123076923076924,0.021312307692307696,0.098,0.789,0.112,0.8892
Netanyahu warns Iran could 'take the entire world hostage' if West ...,2022-03-20 08:00:00,59.0,0.02175,0.3921875,0.0235625,-0.019249999999999996,0.099,0.828,0.073,-0.9633
"Israeli parliament's coalition chair resigns, opening door to new ...",2022-04-06 04:52:00,60.0,0.024749999999999998,0.32687499999999997,0.023374999999999996,0.009008333333333339,0.063,0.86,0.078,0.7355
Israel calls for new elections one month before Biden visit | Fox News,2022-06-20 14:41:00,61.0,0.031090909090909093,0.37451515151515147,0.04890909090909091,0.025648484848484858,0.078,0.809,0.113,0.9866
Biden shakes hands with Netanyahu after WH vowed he'd avoid the ...,2022-07-13 11:11:00,62.0,0.007727272727272727,0.15681818181818183,0.017272727272727273,0.05644545454545455,0.017,0.897,0.086,0.9782
Israeli Prime Minister Bennett announces retirement from politics ...,2022-06-29 15:53:00,63.0,0.01284,0.5921200000000001,0.03504,0.10059199999999999,0.026,0.9,0.074,0.9902
"Biden shakes hands with former Israeli PM, begins 'no handshake ...",2022-07-13 17:50:00,64.0,0.01307142857142857,0.11760714285714287,0.012142857142857144,-0.007217857142857139,0.085,0.846,0.069,-0.9684
"Israel's parliament dissolves, sets 5th election in 4 years | Fox News",2022-06-30 10:09:00,65.0,0.045222222222222226,0.5310555555555556,0.034833333333333334,-0.007349999999999999,0.056,0.872,0.072,0.8348
Benjamin Netanyahu calls out 'Palestinian propaganda machine ...,2022-08-07 17:01:00,66.0,0.08208695652173913,0.31521739130434784,0.03747826086956522,-0.1688304347826087,0.182,0.757,0.061,-0.9984
Netanyahu rips Biden over push to revive Iran nuclear deal: Middle ...,2022-08-24 11:47:00,67.0,0.052904761904761906,0.3089523809523809,0.019095238095238096,-0.1362380952380952,0.092,0.867,0.041,-0.9664
Global reaction to Trump raid muted as some Israelis draw ...,2022-08-09 16:56:00,68.0,0.011578947368421053,0.14073684210526316,0.005526315789473684,-0.042605263157894736,0.075,0.854,0.071,-0.5423
Former head of Mossad says group carried out ops in 'heart of Iran ...,2022-08-29 08:23:00,69.0,0.016642857142857143,0.19764285714285718,0.0,-0.10485000000000001,0.083,0.89,0.027,-0.9725
"Biden seems sympathetic to Israel, but policies on Iran, Palestinians ...",2022-10-16 08:00:00,70.0,0.056882352941176474,0.5246470588235295,0.06558823529411766,0.08078235294117649,0.097,0.776,0.126,0.9811
WATCH: Putin stands to reap benefits of Iran nuclear deal with US ...,2022-10-21 17:00:00,71.0,0.05155882352941177,0.5699117647058825,0.055,0.024994117647058823,0.095,0.813,0.092,-0.8619
Israel's Netanyahu leaves hospital after overnight stay | Fox News,2022-10-06 12:33:00,72.0,0.021222222222222222,0.5802222222222222,0.06522222222222224,0.27982222222222225,0.031,0.856,0.113,0.975
Netanyahu rips Australia for 'absurd' decision on Israeli capital ...,2022-10-19 10:26:00,73.0,0.007150000000000001,0.26705,0.025750000000000002,0.112435,0.041,0.898,0.061,0.841
