title,date,index,neg_lbl,pos_lbl,neu_lbl,neg_s,neu_s,pos_s,compound_s,pos,neg,neu,compound
Donald Trump mourns passing of Rush Limbaugh: 'He is a legend ...,2021-02-17 13:32:00,72.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Twitter says Trump wouldn't be allowed back on platform even if he ...,2021-02-10 09:56:00,73.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
What is Trump's net worth now? | Fox Business,2021-02-03 06:19:00,74.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Lincoln Project's Rick Wilson raised $64G for anti-Trump film that ...,2021-02-16 15:53:00,75.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Trump residency at Mar-a-Lago under Palm Beach legal review ...,2021-02-01 13:54:00,76.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Supreme Court won't halt turnover of Trump's tax records | Fox News,2021-02-22 10:01:00,77.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Nikki Haley says Trump 'let us down' | Fox News,2021-02-12 11:43:00,78.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Nikki Haley praises Trump's 'strong' CPAC speech after rebuking ...,2021-03-01 13:38:00,79.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Trump reveals story behind Rush Limbaugh's Presidential Medal of ...,2021-02-17 22:31:00,80.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
7 Republican senators vote to convict Trump on incitement charge ...,2021-02-13 16:24:00,81.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
A Palm Beach property once owned by Donald Trump sells for close ...,2021-02-09 08:20:00,82.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Maxine Waters tries walking back violent rhetoric against Trump ...,2021-02-07 18:57:00,83.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Dems in Trump trial use graphic video of Capitol attack; Trump ...,2021-02-09 15:56:00,84.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Mike Lee's objection to 'false' Trump impeachment evidence causes ...,2021-02-11 07:56:00,85.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Andrew McCarthy: Trump impeachment trial – what you need to ...,2021-02-08 06:00:00,86.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Impeachment trial: How many Senate votes does it take to convict ...,2021-02-13 15:33:00,87.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Trump property next to Mar-a-Lago hits market for $49M | Fox ...,2021-03-01 15:06:00,88.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
LIVE UPDATES: Senators avoid witnesses in Trump impeachment ...,2021-02-13 12:57:00,89.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Trump urges all Americans to get COVID vaccine: 'It's a safe vaccine ...,2021-03-16 20:12:00,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Trump returning to social media with 'his own platform' in 2-3 months ...,2021-03-21 13:53:00,91.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
"Trump slams Biden immigration policies: 'There's nothing, there's no ...",2021-03-27 21:52:00,92.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Trump takes credit for 'China virus' vaccine: 'I hope everyone ...,2021-03-10 20:04:00,93.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Former President Trump tells 'Fox News Primetime' massive migrant ...,2021-03-16 17:29:00,94.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Facebook removes video of Trump interview with daughter-in-law ...,2021-03-31 10:23:00,95.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Frustrated Trump demands to know if Special Counsel Durham is ...,2021-03-26 20:20:00,96.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
"Fauci, who opposed China travel ban and praised their ...",2021-03-11 15:13:00,97.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
"Trump, GOP candidates embrace new digital platform to protect from ...",2021-04-01 12:00:00,98.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
"Psaki acknowledges 'big problem' at border, blames Trump ...",2021-03-15 14:33:00,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
